id,cuisine
18009,mexican
28583,mexican
41580,italian
29752,italian
35687,italian
38527,mexican
19666,mexican
41217,mexican
28753,mexican
22659,mexican
21749,italian
44967,mexican
42969,mexican
44883,italian
20827,mexican
23196,mexican
35387,mexican
33780,mexican
19001,italian
16526,mexican
42455,mexican
47453,italian
42478,italian
11885,mexican
16585,italian
29639,mexican
26245,thai
38516,italian
47520,italian
26212,mexican
23696,mexican
14926,mexican
13292,mexican
27346,italian
1384,italian
15959,italian
42297,southern_us
46235,southern_us
21181,italian
9809,italian
22982,mexican
23120,italian
26743,mexican
12741,mexican
7050,italian
22437,italian
14760,italian
10649,mexican
48065,thai
39931,italian
32935,italian
40142,thai
19103,mexican
38267,italian
30512,mexican
3324,mexican
26197,italian
384,thai
47230,mexican
39748,italian
41038,mexican
24878,mexican
42624,mexican
45706,mexican
8874,mexican
23878,italian
47234,mexican
24075,mexican
46323,italian
22562,mexican
11358,italian
9201,italian
38620,italian
47638,mexican
21238,mexican
11053,mexican
46602,italian
13937,italian
21876,mexican
20798,italian
24381,mexican
48178,italian
45832,mexican
27560,italian
23247,mexican
28975,mexican
43230,italian
9126,mexican
13021,italian
28194,mexican
25617,mexican
36125,italian
16454,mexican
1607,italian
38526,mexican
18755,mexican
12035,mexican
16047,italian
15419,italian
16971,mexican
31459,mexican
27888,mexican
13900,italian
12376,mexican
1658,mexican
29431,thai
22290,italian
28464,italian
37953,mexican
20814,mexican
35987,mexican
2329,italian
43237,mexican
30647,mexican
16675,mexican
37722,mexican
32438,indian
20287,mexican
43296,mexican
6237,mexican
48560,mexican
20810,mexican
34951,mexican
31850,italian
47745,mexican
37815,italian
9872,mexican
5592,italian
27411,thai
39320,southern_us
40247,italian
19792,italian
40754,italian
14365,mexican
14468,mexican
47563,mexican
19611,mexican
7163,mexican
43069,southern_us
27505,italian
36500,mexican
25932,mexican
817,italian
8471,mexican
48250,mexican
9413,italian
12097,southern_us
8416,mexican
5892,mexican
676,mexican
47015,italian
21891,italian
14630,mexican
36195,mexican
25981,mexican
39964,mexican
28298,mexican
31954,mexican
26620,mexican
14932,mexican
47426,mexican
1038,mexican
8077,mexican
37141,mexican
45447,mexican
9624,mexican
45589,mexican
7265,southern_us
31844,mexican
13046,italian
9867,mexican
29184,italian
34783,italian
2823,italian
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,mexican
18193,mexican
46545,italian
9900,italian
14815,thai
39690,italian
22193,mexican
11739,mexican
27311,mexican
36920,mexican
7861,italian
29248,mexican
43142,mexican
7574,mexican
8610,mexican
989,italian
46926,italian
40816,italian
39726,italian
42229,southern_us
10474,italian
22140,italian
31985,mexican
46165,mexican
20860,mexican
42494,italian
15968,mexican
20484,thai
26661,thai
47182,italian
22528,mexican
3861,mexican
1203,mexican
45040,mexican
33287,italian
10097,mexican
42005,southern_us
12423,italian
39613,mexican
30276,mexican
18686,mexican
3031,mexican
40093,italian
182,italian
46591,mexican
4092,mexican
13722,mexican
44575,italian
14989,mexican
13270,mexican
25529,italian
12140,mexican
23127,mexican
13523,italian
41270,italian
8362,italian
11735,mexican
27935,italian
28198,mexican
37765,italian
33856,mexican
30198,mexican
42521,mexican
21567,southern_us
36995,southern_us
24967,thai
45002,mexican
48925,mexican
36914,mexican
2280,mexican
14729,mexican
4594,italian
2237,italian
45631,italian
2317,italian
23079,southern_us
29333,mexican
48066,mexican
15737,italian
30580,mexican
1119,mexican
46336,mexican
5026,italian
10749,mexican
31020,mexican
30805,mexican
27653,italian
35060,italian
39174,mexican
49509,italian
31784,mexican
31408,italian
36029,mexican
11045,mexican
6561,mexican
26992,mexican
31179,mexican
35099,italian
11018,italian
17930,italian
21302,italian
46352,italian
25132,mexican
7010,southern_us
25850,mexican
19601,italian
7935,mexican
34994,italian
25113,italian
45523,italian
34977,mexican
7124,mexican
27514,mexican
27178,mexican
47880,indian
29197,mexican
16347,southern_us
20333,mexican
29112,indian
7510,southern_us
13897,italian
35699,italian
20520,italian
38920,mexican
21775,mexican
37475,mexican
40131,mexican
1939,mexican
48268,italian
34815,italian
13797,italian
39063,italian
29064,italian
26896,italian
29477,mexican
3352,mexican
4966,mexican
7316,italian
23879,italian
16525,italian
32843,italian
39574,mexican
32737,mexican
44788,southern_us
28772,italian
34189,mexican
33719,italian
25846,mexican
1423,mexican
4328,mexican
579,mexican
5219,mexican
2314,mexican
31143,italian
13409,thai
3281,italian
15804,thai
40835,southern_us
39262,mexican
37013,italian
14807,mexican
47956,italian
2580,mexican
13720,mexican
23008,indian
5951,mexican
39312,mexican
6176,southern_us
17617,mexican
57,mexican
43422,mexican
49403,mexican
44751,mexican
21865,mexican
26584,mexican
39355,italian
14038,mexican
45396,southern_us
49715,mexican
41515,thai
30445,italian
4090,southern_us
17207,thai
40376,mexican
19398,italian
22347,thai
49671,mexican
40854,italian
926,italian
47919,mexican
20571,italian
18866,mexican
48742,mexican
14577,italian
29481,southern_us
40996,mexican
34470,italian
31147,mexican
35932,italian
27221,italian
48301,italian
29925,italian
48640,mexican
22873,mexican
10565,italian
15509,italian
37569,mexican
13306,mexican
40474,mexican
15182,mexican
8609,mexican
32168,mexican
1125,mexican
25244,italian
46889,mexican
13841,thai
47135,italian
29036,mexican
43533,mexican
41631,mexican
22124,mexican
18836,italian
35695,mexican
5141,mexican
41894,italian
4972,italian
34195,thai
14183,mexican
15188,southern_us
8734,italian
30946,mexican
5588,thai
49554,mexican
1270,mexican
1259,thai
45986,mexican
22351,mexican
300,mexican
9278,mexican
10021,italian
17014,mexican
40855,italian
18362,italian
16292,italian
29924,mexican
47174,italian
4856,italian
15417,italian
19875,mexican
42228,italian
36264,mexican
14571,mexican
23496,italian
43879,mexican
23431,mexican
5499,mexican
247,mexican
48795,mexican
47113,italian
489,mexican
13036,mexican
4838,italian
40630,mexican
17576,italian
29972,thai
8123,italian
35918,mexican
42669,italian
24632,southern_us
35740,mexican
45670,italian
28041,mexican
46688,italian
10309,thai
15367,mexican
30562,mexican
47151,italian
47300,thai
31200,mexican
5749,mexican
41807,southern_us
13990,mexican
23572,mexican
872,mexican
38085,thai
5248,mexican
26309,mexican
26880,mexican
41559,mexican
8059,mexican
26041,thai
30019,italian
7207,southern_us
30309,mexican
2092,mexican
8023,mexican
4016,mexican
24631,italian
35068,mexican
8523,mexican
28463,italian
8629,italian
43829,italian
22129,italian
34505,mexican
38200,italian
36513,italian
32187,mexican
7788,mexican
31130,mexican
40483,mexican
2224,mexican
14143,mexican
22889,italian
17406,mexican
10451,italian
19844,mexican
23416,mexican
33874,mexican
39951,italian
41361,mexican
44659,italian
8836,southern_us
21709,mexican
22993,thai
39191,mexican
17182,mexican
20507,mexican
42397,mexican
18897,mexican
3797,mexican
11041,mexican
807,thai
3514,italian
12936,thai
15050,mexican
43377,mexican
10471,mexican
30721,mexican
14333,italian
6260,italian
7712,mexican
19048,mexican
21455,mexican
18575,mexican
47647,southern_us
35947,italian
14499,italian
43525,southern_us
5723,italian
48497,italian
43822,mexican
525,italian
30594,italian
47948,mexican
2099,southern_us
43863,italian
24711,thai
15230,mexican
21680,indian
36218,mexican
41622,mexican
34809,italian
5110,italian
27214,italian
34803,mexican
36822,italian
6912,mexican
20373,mexican
29157,mexican
6327,mexican
35502,mexican
8305,mexican
35598,mexican
48538,italian
49358,mexican
44506,mexican
39146,mexican
29270,mexican
20560,mexican
24169,mexican
41537,italian
10431,italian
31517,mexican
34049,mexican
26964,mexican
49655,italian
9101,mexican
30377,italian
7046,italian
47969,mexican
18971,mexican
38891,mexican
29506,thai
40305,italian
21255,mexican
15578,mexican
24894,mexican
32089,mexican
46097,thai
40982,mexican
12543,italian
38366,mexican
32925,italian
17506,thai
48389,italian
41804,mexican
9961,italian
24939,mexican
39599,mexican
45838,mexican
48875,southern_us
25531,mexican
3009,mexican
31965,mexican
16901,italian
13370,italian
2954,thai
40353,italian
8207,mexican
10933,mexican
38206,mexican
14110,italian
19128,italian
32616,italian
27748,mexican
31858,mexican
20510,mexican
17602,thai
35665,mexican
46589,mexican
8178,mexican
34880,italian
42527,mexican
29682,mexican
32166,mexican
30343,southern_us
15385,mexican
18372,italian
29211,italian
23269,mexican
4561,italian
27365,thai
49032,mexican
22064,italian
12060,mexican
47834,mexican
25815,mexican
34036,italian
19326,mexican
44078,mexican
31090,italian
17485,mexican
708,mexican
5350,thai
29754,mexican
18309,italian
46871,italian
27300,mexican
41890,mexican
49548,mexican
11392,italian
1354,mexican
48819,southern_us
19097,italian
42113,italian
24060,thai
25849,mexican
4543,italian
25306,mexican
41966,italian
48719,mexican
48191,thai
8826,mexican
42703,mexican
16083,mexican
26613,italian
28088,mexican
39965,mexican
36239,italian
4322,italian
9951,mexican
3045,mexican
28585,italian
39841,mexican
25913,southern_us
39715,mexican
23135,italian
47022,mexican
24160,mexican
18619,italian
12574,mexican
22681,italian
33692,mexican
538,mexican
22118,mexican
21890,mexican
36340,mexican
27973,mexican
