id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,chinese
35687,italian
38527,southern_us
19666,southern_us
41217,southern_us
28753,southern_us
22659,southern_us
21749,italian
44967,southern_us
42969,southern_us
44883,italian
20827,southern_us
23196,southern_us
35387,southern_us
33780,mexican
19001,italian
16526,southern_us
42455,mexican
47453,chinese
42478,italian
11885,chinese
16585,spanish
29639,southern_us
26245,thai
38516,chinese
47520,italian
26212,southern_us
23696,southern_us
14926,southern_us
13292,southern_us
27346,chinese
1384,chinese
15959,chinese
42297,indian
46235,indian
21181,italian
9809,chinese
22982,southern_us
23120,chinese
26743,southern_us
12741,mexican
7050,italian
22437,italian
14760,italian
10649,southern_us
48065,thai
39931,chinese
32935,italian
40142,thai
19103,southern_us
38267,italian
30512,southern_us
3324,mexican
26197,italian
384,thai
47230,chinese
39748,chinese
41038,southern_us
24878,southern_us
42624,southern_us
45706,southern_us
8874,southern_us
23878,italian
47234,southern_us
24075,thai
46323,italian
22562,southern_us
11358,italian
9201,italian
38620,chinese
47638,southern_us
21238,southern_us
11053,southern_us
46602,chinese
13937,italian
21876,southern_us
20798,chinese
24381,southern_us
48178,italian
45832,mexican
27560,chinese
23247,southern_us
28975,southern_us
43230,italian
9126,southern_us
13021,chinese
28194,southern_us
25617,southern_us
36125,italian
16454,southern_us
1607,italian
38526,southern_us
18755,southern_us
12035,southern_us
16047,italian
15419,italian
16971,southern_us
31459,southern_us
27888,southern_us
13900,italian
12376,southern_us
1658,southern_us
29431,thai
22290,italian
28464,italian
37953,southern_us
20814,southern_us
35987,southern_us
2329,italian
43237,mexican
30647,southern_us
16675,southern_us
37722,southern_us
32438,indian
20287,mexican
43296,southern_us
6237,southern_us
48560,southern_us
20810,southern_us
34951,southern_us
31850,chinese
47745,southern_us
37815,italian
9872,southern_us
5592,italian
27411,vietnamese
39320,indian
40247,chinese
19792,italian
40754,italian
14365,southern_us
14468,southern_us
47563,mexican
19611,southern_us
7163,southern_us
43069,indian
27505,chinese
36500,southern_us
25932,southern_us
817,italian
8471,southern_us
48250,southern_us
9413,chinese
12097,indian
8416,mexican
5892,southern_us
676,southern_us
47015,chinese
21891,italian
14630,mexican
36195,mexican
25981,mexican
39964,southern_us
28298,southern_us
31954,southern_us
26620,southern_us
14932,southern_us
47426,southern_us
1038,southern_us
8077,southern_us
37141,southern_us
45447,mexican
9624,southern_us
45589,southern_us
7265,indian
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,thai
18932,southern_us
11112,southern_us
12859,thai
9365,italian
44516,southern_us
18193,southern_us
46545,italian
9900,italian
14815,thai
39690,chinese
22193,southern_us
11739,southern_us
27311,southern_us
36920,southern_us
7861,chinese
29248,southern_us
43142,mexican
7574,southern_us
8610,southern_us
989,italian
46926,italian
40816,italian
39726,chinese
42229,indian
10474,italian
22140,italian
31985,southern_us
46165,southern_us
20860,southern_us
42494,italian
15968,southern_us
20484,vietnamese
26661,thai
47182,italian
22528,southern_us
3861,southern_us
1203,southern_us
45040,southern_us
33287,chinese
10097,southern_us
42005,indian
12423,italian
39613,southern_us
30276,southern_us
18686,southern_us
3031,southern_us
40093,italian
182,italian
46591,southern_us
4092,southern_us
13722,southern_us
44575,italian
14989,southern_us
13270,southern_us
25529,italian
12140,southern_us
23127,chinese
13523,italian
41270,italian
8362,chinese
11735,southern_us
27935,italian
28198,mexican
37765,italian
33856,southern_us
30198,southern_us
42521,southern_us
21567,indian
36995,indian
24967,thai
45002,southern_us
48925,southern_us
36914,southern_us
2280,southern_us
14729,southern_us
4594,chinese
2237,italian
45631,italian
2317,italian
23079,indian
29333,southern_us
48066,southern_us
15737,italian
30580,mexican
1119,southern_us
46336,southern_us
5026,italian
10749,southern_us
31020,mexican
30805,southern_us
27653,chinese
35060,italian
39174,southern_us
49509,italian
31784,southern_us
31408,italian
36029,southern_us
11045,southern_us
